ID	Formula	MW_x	Purity	PO	MW_salt	Box_ID	Well	Barcode	Amount_mg	Smile	compound_name	Salt_Name	Salt_ratio	canonical_smiles	isomeric_smiles	monoisotopic_mass	Source Plate Barcode	Source Well	well_location	Transfer Volume	Unit [nL]	plate_id	Source Plate Type	Source Plate Name	Destination Plate Name	Stock concentration	Unit[mM]	VESSELPOSITION	Solvent	MW_y	Transfer	unique_sample_id	WellNumber	WellLetter	Cxsmiles	smiles	Catalog ID	PLATE_ID	V, µL	Conc, mM	Salt smiles	Salt_name	Stereochem.data	Geometric.isomer	MW_x.1	SAMPLEIDDISPLAY	Structure [idcode]	Molecule Name	ORDERING NUMBER	MOLPORTID	SUPPLIER NAME	CATALOG NUMBER	MOL WEIGHT TOTAL	MOL WEIGHT PARRENT	MOL WEIGHT NORMAL	MOL FORMULA	QUANTITY	QUANTITY MEASURE	STEREOCHEMISTRY	PURITY CLASSIFIED	PO NUMBER FROM CLIENT	BOX_NAME	BOX_ROW	BOX_COLUMN	VIAL_BARCODE	AMOUNT_IN_VIAL	AMOUNT_IN_VIAL_MEASURE	QUALITY CONTROL	COMPOUND STATE	PARRENT RATIO	MOL WEIGHT SALT	SALT RATIO	SALT DATA	MW	SMILES	VOLUME_IN_VIAL	VOLUME_UNIT	CONCENTRATION, mM	NOTES	IUPAC	Barcode rack	Barcode vial	Position	m(mg)	c mM	V(DMSO)	Unnamed: 28
	C5H6N2O2	126.1133	100.0	92.7/22	0.0		A08				1-methyl-1H-pyrazole-4-carboxylic acid						1560045-Y5.25-A01	A8	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	126.042927		pluskal_enammol_5002_A3_id	3	A	CN1C=C(C=N1)C(=O)O	CN1C=C(C=N1)C(=O)O	Z99601198	1560045-Y5.25-A01	5,25	100.0			Achiral	None	126.042927	Z99601198																																									
	C12H15NO3	221.2524	95.0	92.7/22	0.0		AF12				2-(tert-butylcarbamoyl)benzoic acid						1560045-Y5.25-A01	AF12	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	221.105193		pluskal_enammol_5002_A3_id	3	A	CC(C)(C)NC(=O)C=1C=CC=CC1C(=O)O	CC(C)(C)NC(=O)C=1C=CC=CC1C(=O)O	Z56968136	1560045-Y5.25-A01	5,25	100.0			Achiral	None	221.105193	Z56968136																																									
	C12H11NO2	201.2212	95.36	92.7/22	0.0		W13				6-cyano-1,2,3,4-tetrahydronaphthalene-1-carboxylic acid						1560045-Y5.25-A01	W13	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	201.078979		pluskal_enammol_5002_A3_id	3	A	OC(=O)C1CCCC=2C=C(C#N)C=CC12	OC(=O)C1CCCC=2C=C(C#N)C=CC12	Z2680630213	1560045-Y5.25-A01	5,25	100.0			Racemic or presumed racemic or meso	None	201.078979	Z2680630213																																									
	C7H5N3O2	163.1335	98.89	92.7/22	0.0		V14				pyrazolo[1,5-a]pyrimidine-3-carboxylic acid						1560045-Y5.25-A01	V14	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	163.038176		pluskal_enammol_5002_A3_id	3	A	OC(=O)C=1C=NN2C=CC=NC12	OC(=O)C=1C=NN2C=CC=NC12	Z283862198	1560045-Y5.25-A01	5,25	100.0			Achiral	None	163.038176	Z283862198																																									
	C10H11NO2S	209.2648	95.0	92.7/22	0.0		L27				2-(3,4-dihydro-2H-1,4-benzothiazin-2-yl)acetic acid						1560045-Y5.25-A01	L27	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	209.05105		pluskal_enammol_5002_A3_id	3	A	OC(=O)CC1CNC=2C=CC=CC2S1	OC(=O)CC1CNC=2C=CC=CC2S1	Z368412990	1560045-Y5.25-A01	5,25	100.0			Racemic or presumed racemic or meso	None	209.05105	Z368412990																																									
	C11H11NO2	189.2105	100.0	92.7/22	0.0		AD27				3,5-dimethyl-1H-indole-2-carboxylic acid						1560045-Y5.25-A01	AD27	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	189.078979		pluskal_enammol_5002_A3_id	3	A	CC1=C(NC=2C=CC(C)=CC12)C(=O)O	CC1=C(NC=2C=CC(C)=CC12)C(=O)O	Z1198166199	1560045-Y5.25-A01	5,25	100.0			Achiral	None	189.078979	Z1198166199																																									
	C12H12FNO3	237.227	96.42	92.7/22	0.0		L32				3-(6-fluoro-2-oxo-1,2,3,4-tetrahydroquinolin-1-yl)propanoic acid						1560045-Y5.25-A01	L32	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	237.080121		pluskal_enammol_5002_A3_id	3	A	OC(=O)CCN1C(=O)CCC=2C=C(F)C=CC12	OC(=O)CCN1C(=O)CCC=2C=C(F)C=CC12	Z425350408	1560045-Y5.25-A01	5,25	100.0			Achiral	None	237.080121	Z425350408																																									
	C6H10O4S	178.2062	95.0	92.7/22	0.0		D39				2-(1,1-dioxo-1lambda6-thiolan-3-yl)acetic acid						1560045-Y5.25-A01	D39	A3	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	3.0	DMSO	178.02998		pluskal_enammol_5002_A3_id	3	A	OC(=O)CC1CCS(=O)(=O)C1	OC(=O)CC1CCS(=O)(=O)C1	Z57162030	1560045-Y5.25-A01	5,25	100.0			Racemic or presumed racemic or meso	None	178.02998	Z57162030																																									
	C7H10O2	126.1531	95.0	92.7/22	0.0		B14				bicyclo[3.1.0]hexane-6-carboxylic acid						1560045-Y5.25-A01	B14	A4	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	4.0	DMSO	126.06808		pluskal_enammol_5002_A4_id	4	A	OC(=O)C1C2CCCC12	OC(=O)C1C2CCCC12	Z235263813	1560045-Y5.25-A01	5,25	100.0			Diastereomeric mixture	Unknown	126.06808	Z235263813																																									
	C10H11NO2S	209.2648	96.9	92.7/22	0.0		Q20				dicyclopropyl-1,3-thiazole-5-carboxylic acid						1560045-Y5.25-A01	Q20	A4	20.0	nl	5002	1536LDV_DMSO	GN1536MDX	384PP_Corina	100.0	mM	4.0	DMSO	209.05105		pluskal_enammol_5002_A4_id	4	A	OC(=O)C=1SC(=NC1C2CC2)C3CC3	OC(=O)C=1SC(=NC1C2CC2)C3CC3	Z1724011176	1560045-Y5.25-A01	5,25	100.0			Achiral	None	209.05105	Z1724011176																																									
