well_location	ncgc_id	smiles	MW	iupac	XLogP	monoisotopic_mass	formula	compound_name	Platenumber	WellNumber	WellLetter	plate_id	mixed_location_plate
A2	NCGC00015878-06	COC(=O)C1C(O)CCC2CN3CCC4=C(NC5=C4C=CC=C5)C3CC12	354.4	methyl 18-hydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate	2.9	354.194		NCGC00015878-06	1	2	A	01P	01P_A2
A2	NCGC00015878-06	COC(=O)C1C(O)CCC2CN3CCC4=C(NC5=C4C=CC=C5)C3CC12	354.4	methyl 18-hydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate	2.9	354.194		NCGC00015878-06	1	2	A	01P	01P_A2
A2	NCGC00169771-03	O[C@]12CO[C@@H]([C@H]1CO[C@@H]2C3=CC4=C(OCO4)C=C3)C5=CC6=C(OCO6)C=C5	370.4	(3R,3aS,6S,6aR)-3,6-bis(1,3-benzodioxol-5-yl)-3,4,6,6a-tetrahydro-1H-furo[3,4-c]furan-3a-ol	1.6	370.105		NCGC00169771-03	1	2	A	01P	01P_A2
A2	NCGC00180826-02	C\C=C(\C)C(=O)OC1C(OC(C)=O)C2=C3OC(=O)C=CC3=CC=C2OC1(C)C	386.4	(10-acetyloxy-8,8-dimethyl-2-oxo-9,10-dihydropyrano[2,3-f]chromen-9-yl) (Z)-2-methylbut-2-enoate	3.1	386.137		NCGC00180826-02	1	2	A	01P	01P_A2
A2	NCGC00347686-02	CC(=O)N(O)CCCC1NC(=O)CNC(=O)C(CO)NC(=O)CNC(=O)C(CCCN(O)C(C)=O)NC(=O)C(CCCN(O)C(C)=O)NC1=O	717.7	N-[3-[5,8-bis[3-[acetyl(hydroxy)amino]propyl]-14-(hydroxymethyl)-3,6,9,12,15,18-hexaoxo-1,4,7,10,13,16-hexazacyclooctadec-2-yl]propyl]-N-hydroxyacetamide	-4.8	717.329		NCGC00347686-02	1	2	A	01P	01P_A2
A2	NCGC00380516-01	CC(=O)OCC(CCC=C(C)C)=CCCC(CO)=CCCC(C)=CCO	364.5	[12-hydroxy-6-(hydroxymethyl)-10-methyl-2-(4-methylpent-3-enyl)dodeca-2,6,10-trienyl] acetate	4.7	364.261		NCGC00380516-01	1	2	A	01P	01P_A2
A2	NCGC00380521-01	COC1=C(O)C=CC(=C1)C2CC(=O)C3=C(O)C=C(O[C@@H]4O[C@H](COC(=O)CC(C)(O)CC(O)=O)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)C=C3O2	754.7	5-[[(2R,3S,4S,5R,6S)-3,4-dihydroxy-6-[[5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl]oxy]-5-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]methoxy]-3-hydroxy-3-methyl-5-oxopentanoic acid	-1.5	754.232		NCGC00380521-01	1	2	A	01P	01P_A2
A2	NCGC00380523-01	COC1=C2C=CC(=O)OC2=C(OCC(OC(=O)C(\C)=C\C)C(C)(C)O)C3=C1C=CO3	416.4	[3-hydroxy-1-(4-methoxy-7-oxofuro[3,2-g]chromen-9-yl)oxy-3-methylbutan-2-yl] (E)-2-methylbut-2-enoate	3.3	416.147		NCGC00380523-01	1	2	A	01P	01P_A2
A3	NCGC00169461-03	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCCC3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H]2OC(=O)\C=C\C5=CC(O)=C(O)C=C5)[C@H](O)[C@H](O)[C@H]1O	770.7	[(2R,3R,4R,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-5-hydroxy-4-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	-1.6	770.263		NCGC00169461-03	1	3	A	01P	01P_A3
A3	NCGC00169670-02	COC1=CC(=CC(OC)=C1O)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3C4=CC(OC)=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(OC)=C4	580.6	(2S,3R,4S,5S,6R)-2-[4-[(3S,3aR,6S,6aR)-3-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2,6-dimethoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	0.4	580.216		NCGC00169670-02	1	3	A	01P	01P_A3
