IDNUMBER	structure	fmla structure	mol weight structure	nHA	nHD	CLogP	nRB	nRings	PSA	compound_name	Saltdata	inchikey	smiles	ID	inchi	Source1536wWell	volume [nL]	well_location	plate_id
P1086813		C16H18N4O2	298.34746	6	1	-1.0	3	3	69.6	2-(4-methylpiperazin-1-yl)-6-phenyl-pyrimidine-4-carboxylic acid		TXZUMXIIPHZAMV-UHFFFAOYSA-N	CN1CCN(CC1)c2nc(cc(n2)c3ccccc3)C(=O)O	1	InChI=1S/C16H18N4O2/c1-19-7-9-20(10-8-19)16-17-13(11-14(18-16)15(21)22)12-5-3-2-4-6-12/h2-6,11H,7-10H2,1H3,(H,21,22)	A1	100	A1	Peptide01
P0120630213		C22H24N2O3	364.44818	3	2	4.5	6	3	71.2	methyl 3-(1H-indol-3-yl)-2-[(2,4,6-trimethylbenzoyl)amino]propanoate		GSBPFEDNFWDEJT-UHFFFAOYSA-N	COC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c3c(C)cc(C)cc3C	89	InChI=1S/C22H24N2O3/c1-13-9-14(2)20(15(3)10-13)21(25)24-19(22(26)27-4)11-16-12-23-18-8-6-5-7-17(16)18/h5-10,12,19,23H,11H2,1-4H3,(H,24,25)	A2	100	A1	Peptide01
P7020554651		C20H18BrN3O3	428.28876	3	2	3.6	6	3	84.2	N-[(1S)-1-benzyl-2-[(5-methylisoxazol-3-yl)amino]-2-oxo-ethyl]-2-bromo-benzamide		YMQJHTKRVRGXTE-KRWDZBQOSA-N	Cc1onc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c3ccccc3Br)c1	177	InChI=1S/C20H18BrN3O3/c1-13-11-18(24-27-13)23-20(26)17(12-14-7-3-2-4-8-14)22-19(25)15-9-5-6-10-16(15)21/h2-11,17H,12H2,1H3,(H,22,25)(H,23,24,26)/t17-/m0/s1	A3	100	A1	Peptide01
P1305501		C24H22N2O2	370.45514	2	2	4.6	6	4	54.1	N-[2-(1H-indol-3-yl)-2-phenyl-ethyl]-3-methoxy-benzamide		BMZZJKFKOPJMAV-UHFFFAOYSA-N	COc1cccc(c1)C(=O)NCC(c2ccccc2)c3c[nH]c4ccccc34	265	InChI=1S/C24H22N2O2/c1-28-19-11-7-10-18(14-19)24(27)26-15-21(17-8-3-2-4-9-17)22-16-25-23-13-6-5-12-20(22)23/h2-14,16,21,25H,15H2,1H3,(H,26,27)	A4	100	A1	Peptide01
P3644480		C12H21NO5	259.30487	5	2	0.2	4	1	87.1	2-(1-tert-butoxycarbonyl-4-hydroxy-4-piperidyl)acetic acid		CTGKOZWOKCERFN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(O)(CC(=O)O)CC1	9	InChI=1S/C12H21NO5/c1-11(2,3)18-10(16)13-6-4-12(17,5-7-13)8-9(14)15/h17H,4-8H2,1-3H3,(H,14,15)	A5	100	A1	Peptide01
P0127442789		C23H24N2O	344.46053	3	1	5.0	5	4	26.7	3-(1,3-dibenzylimidazolidin-2-yl)phenol		YUHDTDWTWWAETA-UHFFFAOYSA-N	Oc1cccc(c1)C2N(Cc3ccccc3)CCN2Cc4ccccc4	97	InChI=1S/C23H24N2O/c26-22-13-7-12-21(16-22)23-24(17-19-8-3-1-4-9-19)14-15-25(23)18-20-10-5-2-6-11-20/h1-13,16,23,26H,14-15,17-18H2	A6	100	A1	Peptide01
P7020522196		C22H20N2O4	376.4157	6	2	4.6	8	3	80.2	2-[(2E)-2-[(2-benzyloxy-3-methoxy-phenyl)methylene]hydrazino]benzoic acid		KMEAQBHSGBXERO-OEAKJJBVSA-N	COc1cccc(\C=N\Nc2ccccc2C(=O)O)c1OCc3ccccc3	185	InChI=1S/C22H20N2O4/c1-27-20-13-7-10-17(21(20)28-15-16-8-3-2-4-9-16)14-23-24-19-12-6-5-11-18(19)22(25)26/h2-14,24H,15H2,1H3,(H,25,26)/b23-14+	A7	100	A1	Peptide01
P6236877		C22H24N4O	360.46278	3	2	2.5	7	4	61.0	1-benzhydryl-N-[2-(1H-imidazol-4-yl)ethyl]azetidine-3-carboxamide		XPMXIPQSENSIOH-UHFFFAOYSA-N	O=C(NCCc1c[nH]cn1)C2CN(C2)C(c3ccccc3)c4ccccc4	273	InChI=1S/C22H24N4O/c27-22(24-12-11-20-13-23-16-25-20)19-14-26(15-19)21(17-7-3-1-4-8-17)18-9-5-2-6-10-18/h1-10,13,16,19,21H,11-12,14-15H2,(H,23,25)(H,24,27)	A8	100	A1	Peptide01
P4187372		C17H21F3N2O4	374.36312	4	1	1.8	9	1	75.7	methyl 3-[2-acetamidoethyl-[4-(trifluoromethyl)benzoyl]amino]-2-methyl-propanoate		ARJXOQQSZXMPMM-UHFFFAOYSA-N	COC(=O)C(C)CN(CCNC(=O)C)C(=O)c1ccc(cc1)C(F)(F)F	17	InChI=1S/C17H21F3N2O4/c1-11(16(25)26-3)10-22(9-8-21-12(2)23)15(24)13-4-6-14(7-5-13)17(18,19)20/h4-7,11H,8-10H2,1-3H3,(H,21,23)	A9	100	A2	Peptide01
P1444434		C16H20N2O4	304.3488	4	3	2.8	6	2	91.4	rac-(2S)-2-(tert-butoxycarbonylamino)-3-(1H-indol-3-yl)propanoic acid		NFVNYBJCJGKVQK-ZDUSSCGKSA-N	CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	105	InChI=1S/C16H20N2O4/c1-16(2,3)22-15(21)18-13(14(19)20)8-10-9-17-12-7-5-4-6-11(10)12/h4-7,9,13,17H,8H2,1-3H3,(H,18,21)(H,19,20)/t13-/m0/s1	A10	100	A2	Peptide01
